0,1
0.12,2
0.5,3
0.5,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0.19999999,13
0.19999999,14
0.13363166,15
0.102870375,16
0.096584395,17
0.07111871,18
0.061991528,19
0.024744354,20
0.023411173,21
0.0051441896,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0.91999996,119
0.91999996,120
0.6503753,121
0.5604958,122
0.4967325,123
0.3748146,124
0.34723985,125
0.34723985,126
0.34723985,127
0.23299287,128
0.0001360796,129
0.0001360796,130
0.0001360796,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
2.1948001,163
0.72239995,164
0,165
0,166
0,167
0.01383292,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
0,190
0,191
0,192
0,193
0,194
0,195
0,196
0,197
0,198
0,199
0,200
0,201
0,202
0,203
0,204
0,205
0,206
0,207
0,208
2.3204567,209
1.1986225,210
0,211
0,212
1.249415,213
0.003783014,214
0.0035791919,215
0.00078646385,216
4.0862855e-09,217
0,218
0,219
0,220
0,221
0,222
0,223
0,224
0,225
0,226
0,227
0,228
0,229
0,230
0,231
0,232
0,233
0.0053094667,234
0,235
0,236
0,237
0,238
0,239
0,240
0,241
0,242
0,243
0,244
0,245
0,246
0,247
0,248
0,249
0,250
0,251
0,252
0,253
0,254
0,255
0,256
0.0053094677,257
0,258
0,259
0,260
1.0999274,261
0.30915096,262
0.023309723,263
0.012470772,264
0,265
0,266
0,267
0,268
0,269
0,270
0,271
0,272
0,273
0,274
0,275
0,276
0,277
0,278
0,279
0,280
0,281
0,282
0,283
0,284
0,285
0,286
0,287
0,288
0,289
0,290
0,291
0,292
0,293
0,294
0,295
0,296
0,297
0,298
0,299
0,300
0,301
0,302
0,303
0,304
0,305
0,306
0,307
0,308
0.48054546,309
0,310
0,311
0,312
0,313
0,314
0.15249352,315
0,316
0,317
0,318
0,319
0,320
0,321
0,322
0.071822256,323
0.018925989,324
0.17332219,325
0,326
0.059142355,327
0,328
0,329
